user_id,subscription_date,recipe_section_pageviews,food_section_pageviews,fashion_section_pageviews,beauty_section_pageviews,news_section_pageviews
896748,2012-09-10 11:15:18.000000,1,0,0,0,0
887735,2012-09-07 00:51:12.000000,2,34,0,0,2
888222,2012-09-07 07:13:01.000000,1,0,0,0,0
886999,2012-09-06 21:53:45.000000,0,1,0,0,0
894130,2012-09-10 09:22:23.000000,1,2,0,0,0
924356,2012-09-28 12:20:39.000000,1,0,0,0,0
931432,2012-09-29 11:57:38.000000,1,0,0,0,0
926261,2012-09-28 19:42:43.000000,0,2,0,0,0
939883,2012-09-29 13:13:37.000000,1,0,0,0,2
955853,2012-09-29 15:20:37.000000,1,0,0,0,0
972031,2012-09-29 18:23:14.000000,0,1,0,0,0
950502,2012-09-29 14:40:18.000000,2,0,0,0,0
967205,2012-09-29 17:09:48.000000,0,2,1,0,0
944933,2012-09-29 13:57:41.000000,1,0,0,0,0
967808,2012-09-29 17:17:04.000000,0,1,0,0,0
970922,2012-09-29 18:04:12.000000,2,0,0,0,0
896811,2012-09-10 11:19:30.000000,4,2,0,0,0
862460,2012-08-28 13:03:01.000000,0,3,6,2,22
866777,2012-09-01 21:22:57.000000,0,4,1,5,1
870973,2012-09-05 13:24:30.000000,0,1,1,1,2
878986,2012-09-06 11:41:13.000000,0,1,2,2,12
876763,2012-09-06 08:07:07.000000,0,1,0,0,0
882115,2012-09-06 13:08:56.000000,0,1,0,0,1
880045,2012-09-06 12:01:39.000000,1,0,0,0,2
880213,2012-09-06 12:05:37.000000,1,1,0,0,4
877500,2012-09-06 11:20:54.000000,1,3,5,0,5
899569,2012-09-10 17:21:19.000000,0,1,0,0,1
900198,2012-09-10 19:41:48.000000,0,1,0,0,0
901259,2012-09-11 00:39:48.000000,1,0,0,0,0
905977,2012-09-13 12:31:51.000000,1,1,1,0,1
895490,2012-09-10 10:04:32.000000,1,1,0,0,8
871469,2012-09-05 13:43:50.000000,2,1,0,0,1
863601,2012-08-29 09:22:11.000000,0,1,2,0,0
868299,2012-09-03 09:41:09.000000,0,1,1,0,11
887067,2012-09-06 22:05:35.000000,1,0,0,0,0
887428,2012-09-06 23:09:52.000000,0,2,0,0,4
883888,2012-09-06 15:08:00.000000,0,2,0,0,0
882941,2012-09-06 13:55:19.000000,0,1,0,0,0
864627,2012-08-30 07:49:28.000000,0,6,0,0,2
879065,2012-09-06 11:42:37.000000,0,2,0,0,0
889530,2012-09-07 11:44:25.000000,3,5,0,0,0
877679,2012-09-06 11:24:23.000000,0,2,1,0,3
882524,2012-09-06 13:30:21.000000,4,0,0,0,0
882970,2012-09-06 13:57:13.000000,2,4,0,0,4
886185,2012-09-06 19:52:00.000000,0,2,1,1,9
885370,2012-09-06 17:49:36.000000,0,3,2,0,0
906595,2012-09-13 13:23:52.000000,0,2,0,0,0
893298,2012-09-09 21:52:28.000000,1,2,1,1,9
923203,2012-09-27 13:45:45.000000,0,2,0,0,1
915002,2012-09-17 10:45:32.000000,1,11,2,0,0
923924,2012-09-28 03:18:38.000000,3,3,1,0,1
914344,2012-09-17 09:02:40.000000,5,1,1,0,10
921099,2012-09-24 21:37:11.000000,8,6,6,0,2
935253,2012-09-29 12:30:30.000000,0,2,0,0,0
954316,2012-09-29 15:10:19.000000,0,1,0,0,3
967095,2012-09-29 17:08:38.000000,0,1,0,0,0
979451,2012-09-29 21:11:16.000000,8,0,0,0,0
935271,2012-09-29 12:30:39.000000,1,0,0,0,0
942935,2012-09-29 13:38:50.000000,1,0,2,0,3
946842,2012-09-29 14:12:41.000000,1,1,1,0,2
951553,2012-09-29 14:49:18.000000,0,2,0,0,2
947837,2012-09-29 14:19:44.000000,0,1,3,0,2
963240,2012-09-29 16:23:26.000000,2,0,2,0,0
966484,2012-09-29 17:00:43.000000,0,1,0,0,2
978413,2012-09-29 20:43:10.000000,5,1,2,0,2
972436,2012-09-29 18:30:24.000000,2,1,1,0,3
935636,2012-09-29 12:33:42.000000,4,2,1,0,4
945180,2012-09-29 14:00:20.000000,1,1,0,0,0
935870,2012-09-29 12:35:51.000000,4,0,0,0,0
939555,2012-09-29 13:11:10.000000,0,1,0,0,3
941699,2012-09-29 13:27:54.000000,1,0,0,0,0
958865,2012-09-29 15:41:52.000000,1,0,1,0,0
961432,2012-09-29 16:05:17.000000,0,2,1,0,0
966788,2012-09-29 17:04:26.000000,5,1,0,0,1
927047,2012-09-29 11:06:22.000000,0,1,0,0,5
931440,2012-09-29 11:57:47.000000,0,1,0,0,3
927008,2012-09-29 11:05:48.000000,0,2,6,0,5
929393,2012-09-29 11:29:13.000000,0,1,1,0,4
934985,2012-09-29 12:27:59.000000,0,4,3,2,4
945117,2012-09-29 13:59:44.000000,0,2,2,1,8
963190,2012-09-29 16:22:59.000000,0,1,1,0,0
972353,2012-09-29 18:29:14.000000,0,1,0,0,7
965433,2012-09-29 16:47:30.000000,0,8,3,0,6
969581,2012-09-29 17:43:21.000000,0,1,3,18,25
969943,2012-09-29 17:48:47.000000,0,1,0,0,3
859954,2012-08-27 09:13:45.000000,0,1,0,0,1
863253,2012-08-28 21:36:18.000000,0,1,0,0,0
957782,2012-09-29 15:33:27.000000,0,4,0,0,0
934303,2012-09-29 12:22:26.000000,0,1,0,0,0
969083,2012-09-29 17:35:54.000000,1,0,0,0,0
933845,2012-09-29 12:18:52.000000,1,1,0,0,0
931551,2012-09-29 12:00:03.000000,2,2,0,0,0
936544,2012-09-29 12:42:06.000000,1,0,0,0,0
968743,2012-09-29 17:30:57.000000,0,2,0,0,0
869833,2012-09-04 22:10:40.000000,2,0,3,0,0
861602,2012-08-28 08:32:34.000000,1,1,0,0,0
895552,2012-09-10 10:06:37.000000,0,1,0,0,0
888284,2012-09-07 07:37:42.000000,0,1,0,0,0
881526,2012-09-06 12:43:45.000000,4,4,2,0,5
884033,2012-09-06 15:21:09.000000,0,1,1,0,4
884103,2012-09-06 15:27:30.000000,0,1,1,0,5
885303,2012-09-06 17:40:33.000000,0,4,1,0,0
904888,2012-09-13 11:46:14.000000,2,2,0,0,0
896054,2012-09-10 10:33:03.000000,1,0,0,0,3
895662,2012-09-10 10:11:55.000000,11,10,0,0,0
909503,2012-09-14 05:55:29.000000,0,1,6,0,6
903462,2012-09-12 12:22:15.000000,0,3,0,0,0
887191,2012-09-06 22:26:13.000000,0,1,0,0,0
891195,2012-09-08 01:55:19.000000,0,1,0,0,0
908121,2012-09-13 17:45:29.000000,0,1,0,0,3
860267,2012-08-27 12:08:40.000000,0,1,1,1,0
864542,2012-08-30 02:13:23.000000,2,0,0,0,4
888730,2012-09-07 09:15:35.000000,5,2,1,0,5
882873,2012-09-06 13:50:36.000000,5,2,0,0,3
884624,2012-09-06 16:18:57.000000,0,2,0,0,9
887318,2012-09-06 22:48:38.000000,1,0,1,0,3
883873,2012-09-06 15:06:26.000000,1,0,1,0,7
884404,2012-09-06 15:55:32.000000,1,6,0,0,1
885308,2012-09-06 17:41:08.000000,2,2,0,0,6
905358,2012-09-13 12:01:50.000000,0,1,1,0,1
900697,2012-09-10 21:31:11.000000,2,3,2,5,10
902219,2012-09-11 12:56:18.000000,0,6,1,0,10
923119,2012-09-27 13:09:47.000000,16,4,2,1,2
917287,2012-09-17 23:47:07.000000,12,3,3,0,8
949633,2012-09-29 14:33:15.000000,1,1,0,0,1
976622,2012-09-29 19:58:34.000000,4,1,0,0,0
956608,2012-09-29 15:25:31.000000,0,4,0,0,1
969571,2012-09-29 17:43:12.000000,3,0,0,0,0
945610,2012-09-29 14:04:02.000000,2,0,0,0,0
927537,2012-09-29 11:11:26.000000,1,3,4,1,11
932923,2012-09-29 12:11:49.000000,3,1,2,0,9
944587,2012-09-29 13:54:20.000000,1,0,1,0,2
950494,2012-09-29 14:40:13.000000,0,2,1,0,4
962731,2012-09-29 16:18:27.000000,2,1,0,0,0
958805,2012-09-29 15:41:24.000000,2,2,0,2,10
944471,2012-09-29 13:53:11.000000,2,0,0,0,0
970150,2012-09-29 17:52:22.000000,1,1,0,0,0
947184,2012-09-29 14:14:58.000000,9,3,0,0,0
936516,2012-09-29 12:41:53.000000,1,0,0,0,11
3729406,2017-04-10 07:05:33.000000,0,1,0,0,0
1009637,2012-10-01 14:46:24.000000,13,1,0,0,0
1042153,2012-10-03 14:49:44.000000,0,2,0,0,2
1071345,2012-11-09 13:11:02.000000,2,1,0,0,0
1191654,2013-02-04 07:59:56.000000,0,1,0,0,0
1034151,2012-10-02 16:17:57.000000,0,2,0,0,0
1166515,2013-01-27 11:29:39.000000,1,0,0,0,0
1124471,2013-01-15 14:28:55.000000,0,1,0,0,0
1338250,2013-05-07 09:55:38.000000,0,2,0,0,0
4136739,2018-03-15 14:18:02.000000,1,0,0,0,0
1949139,2014-03-07 09:16:29.000000,1,0,0,0,0
1239200,2013-02-21 16:08:03.000000,0,1,0,0,0
1301544,2013-04-04 21:22:13.000000,0,1,0,0,0
1522643,2013-07-21 12:23:11.000000,1,0,0,0,0
1993231,2014-03-28 18:19:28.000000,0,1,0,0,0
2820533,2015-10-08 09:23:45.000000,3,0,0,0,0
1166645,2013-08-06 20:43:43.000000,0,1,0,0,0
1921121,2014-02-25 11:35:58.000000,0,2,0,0,0
1542363,2013-08-04 10:26:25.000000,1,0,0,0,0
1369603,2013-05-29 22:12:11.000000,0,1,0,0,0
1311777,2013-04-10 19:48:42.000000,1,0,0,0,0
1436318,2013-06-22 11:56:09.000000,2,2,0,0,0
1422536,2013-06-19 13:46:55.000000,1,0,0,0,0
1797953,2014-01-16 10:49:37.000000,2,0,0,0,0
1860301,2014-02-06 20:24:06.000000,0,1,0,0,0
1915121,2014-02-21 22:12:56.000000,0,1,1,0,0
1998109,2015-04-16 15:46:24.000000,0,2,3,2,0
2613396,2015-04-21 00:10:02.000000,1,7,0,0,0
3643773,2017-02-05 18:41:31.000000,0,2,0,0,0
3441957,2016-10-08 20:19:55.000000,4,2,0,0,0
3726955,2017-04-09 09:10:27.000000,0,1,0,0,0
2427227,2017-11-29 13:49:58.000000,0,10,9,4,0
1167157,2019-05-18 22:54:16.000000,0,1,0,0,0
3094516,2016-04-11 11:51:40.000000,0,1,0,0,0
3676047,2017-02-24 15:03:37.000000,0,1,0,0,0
3776534,2017-04-17 20:50:40.000000,0,1,0,0,0
4326298,2018-07-31 03:00:23.000000,0,1,0,0,0
2479936,2019-08-15 17:12:15.000000,5,0,0,0,0
3754557,2017-04-17 15:39:04.000000,1,0,0,0,0
1698630,2013-10-25 11:47:25.000000,1,0,0,0,0
1296023,2013-04-04 11:46:40.000000,1,0,0,0,0
1450821,2013-06-26 20:18:19.000000,0,1,0,0,0
1581959,2013-09-10 11:18:18.000000,0,1,0,0,0
1995080,2014-04-02 02:14:11.000000,0,1,0,0,0
1966387,2014-03-17 08:51:55.000000,5,4,0,0,0
1773800,2013-12-17 19:48:41.000000,8,0,0,0,0
1814216,2014-01-23 12:34:21.000000,1,4,0,0,0
2039880,2014-05-14 11:34:17.000000,2,0,0,1,0
1505189,2015-02-24 15:23:49.000000,0,34,0,0,0
2746131,2015-08-21 17:32:11.000000,1,2,0,0,0
1273524,2013-03-09 20:31:07.000000,1,0,0,0,0
1554710,2013-08-07 06:05:20.000000,1,0,0,0,0
1839453,2014-01-27 09:42:56.000000,1,0,0,0,0
1899404,2014-02-16 15:12:49.000000,3,2,0,0,0
1305916,2013-04-07 20:54:10.000000,1,0,0,0,0
1883461,2014-02-12 19:16:31.000000,0,2,0,0,0
2276409,2014-09-19 11:53:38.000000,2,0,0,0,0
2891011,2015-11-22 18:13:05.000000,0,1,0,0,0
2543887,2015-03-03 23:59:49.000000,0,1,1,0,0
2060205,2019-06-10 13:00:19.000000,0,1,0,0,0
3662368,2017-02-16 17:48:57.000000,0,1,0,0,0
3793588,2017-04-18 15:47:46.000000,1,0,0,0,0
3260691,2016-07-08 11:07:25.000000,0,1,0,0,0
3453388,2016-10-12 08:40:15.000000,0,1,0,0,0
3673476,2017-02-23 08:17:08.000000,3,1,0,0,0
3144203,2017-11-10 04:22:21.000000,0,1,0,0,0
4719685,2019-07-23 10:06:03.000000,0,1,0,0,0
4865626,2020-04-17 07:47:24.000000,0,1,0,0,0
874990,2012-09-05 18:42:08.000000,28,8,0,0,0
907930,2012-09-13 17:00:02.000000,2,0,0,0,0
920188,2012-09-23 00:51:48.000000,13,2,0,0,0
964512,2012-09-29 16:37:02.000000,0,1,0,0,0
896204,2012-09-10 10:41:53.000000,1,3,0,0,1
864986,2012-08-30 14:48:41.000000,0,1,0,0,0
882737,2012-09-06 13:42:29.000000,2,2,0,0,0
861435,2012-08-28 00:32:54.000000,0,1,0,0,0
896051,2012-09-10 10:32:48.000000,1,1,0,0,0
895753,2012-09-10 10:17:12.000000,0,1,0,0,0
950309,2012-09-29 14:38:50.000000,0,1,0,0,0
981611,2012-09-29 22:17:27.000000,3,2,0,0,0
976519,2012-09-29 19:56:07.000000,2,0,0,0,0
925437,2012-09-28 14:00:08.000000,1,0,0,0,0
968079,2012-09-29 17:21:12.000000,0,1,0,0,0
888493,2012-09-07 08:23:17.000000,5,0,0,0,2
875865,2012-09-05 21:51:41.000000,1,0,0,0,0
875731,2012-09-05 21:26:51.000000,2,0,0,0,10
879206,2012-09-06 11:45:09.000000,1,0,0,0,0
892200,2012-09-08 20:46:28.000000,4,6,0,0,4
907890,2012-09-13 16:50:45.000000,1,0,0,0,0
862158,2012-08-28 11:33:14.000000,0,1,0,0,0
878652,2012-09-06 11:36:06.000000,1,1,0,0,0
882352,2012-09-06 13:20:45.000000,2,0,0,0,0
881817,2012-09-06 12:55:19.000000,2,0,0,0,4
879011,2012-09-06 11:41:41.000000,0,1,2,0,7
875724,2012-09-05 21:25:32.000000,3,2,0,1,0
892565,2012-09-09 08:39:17.000000,1,0,0,0,0
865680,2012-08-31 11:35:43.000000,1,2,0,0,1
882442,2012-09-06 13:25:21.000000,1,2,0,0,0
888343,2012-09-07 07:49:54.000000,19,4,0,0,0
897949,2012-09-10 12:58:52.000000,0,1,1,3,1
901518,2012-09-11 06:54:05.000000,5,1,0,0,0
907745,2012-09-13 16:17:11.000000,0,1,1,0,0
862043,2012-08-28 11:09:10.000000,0,1,2,0,5
862035,2012-08-28 11:07:35.000000,4,3,0,0,0
878882,2012-09-06 11:39:24.000000,0,1,0,0,0
885585,2012-09-06 18:21:39.000000,0,3,1,2,7
885578,2012-09-06 18:20:52.000000,11,13,0,0,0
897137,2012-09-10 11:42:27.000000,1,0,1,0,1
906724,2012-09-13 13:39:48.000000,0,1,0,0,0
910834,2012-09-14 20:30:32.000000,13,41,1,0,5
910710,2012-09-14 18:08:15.000000,5,0,0,1,1
911824,2012-09-16 01:18:05.000000,3,4,0,0,2
923372,2012-09-27 15:20:36.000000,2,2,0,0,0
918923,2012-09-19 22:00:16.000000,0,1,4,2,1
930138,2012-09-29 11:37:53.000000,0,1,2,0,0
933260,2012-09-29 12:14:31.000000,0,6,0,0,0
933531,2012-09-29 12:16:39.000000,1,0,0,0,0
957249,2012-09-29 15:29:43.000000,0,1,0,0,0
957736,2012-09-29 15:33:05.000000,5,2,0,0,0
972783,2012-09-29 18:36:23.000000,0,1,0,0,1
934865,2012-09-29 12:27:01.000000,3,2,0,0,7
927363,2012-09-29 11:09:41.000000,0,1,0,0,3
927491,2012-09-29 11:10:54.000000,0,3,1,0,10
938421,2012-09-29 13:02:54.000000,2,1,0,0,0
937549,2012-09-29 12:52:44.000000,1,0,5,0,4
941494,2012-09-29 13:26:22.000000,1,1,0,1,3
949461,2012-09-29 14:31:56.000000,1,4,2,0,1
978661,2012-09-29 20:49:42.000000,1,0,0,0,0
960163,2012-09-29 15:52:35.000000,1,1,0,0,16
967257,2012-09-29 17:10:33.000000,2,1,0,0,0
973923,2012-09-29 18:58:34.000000,13,10,2,0,8
978157,2012-09-29 20:36:07.000000,1,1,2,3,8
980867,2012-09-29 21:52:39.000000,1,0,0,0,3
925886,2012-09-28 16:08:51.000000,3,0,0,0,0
928179,2012-09-29 11:17:24.000000,6,2,1,0,0
942303,2012-09-29 13:32:58.000000,1,4,7,0,7
864216,2012-08-29 19:10:49.000000,0,1,0,0,0
874760,2012-09-05 17:57:10.000000,0,1,0,0,0
926196,2012-09-28 18:48:49.000000,0,1,0,0,0
868571,2012-09-03 15:24:10.000000,1,1,0,0,3
886935,2012-09-06 21:44:11.000000,6,3,0,0,2
889536,2012-09-07 11:45:31.000000,0,1,0,0,0
